"mes","valor_total","variacao_mes_anterior","variacao_em_%"
"Janeiro","$137,188.49","$0.00","0 %"
"Feveiro","$286,280.62","$149,092.13","108.7 %"
"Março","$432,048.59","$145,767.97","50.9 %"
"Abril","$412,422.24","-$19,626.35","-4.5 %"
"Maio","$586,190.95","$173,768.71","42.1 %"
"Junho","$502,963.04","-$83,227.91","-14.2 %"
"Julho","$584,971.62","$82,008.58","16.3 %"
"Agosto","$668,204.60","$83,232.98","14.2 %"
"Setembro","$720,398.91","$52,194.31","7.8 %"
"Outubro","$769,312.37","$48,913.46","6.8 %"
"Novembro","$1,179,143.77","$409,831.40","53.3 %"
"Dezembro","$863,547.23","-$315,596.54","-26.8 %"
