"customer_state","customer_city","qtd_clientes","rank_cidade"
"AC","rio branco","70","1"
"AC","cruzeiro do sul","3","2"
"AC","xapuri","2","3"
"AC","senador guiomard","2","3"
"AL","maceio","247","1"
"AL","arapiraca","29","2"
"AL","palmeira dos indios","8","3"
"AL","penedo","8","3"
"AL","teotonio vilela","8","3"
"AM","manaus","140","1"
"AM","humaita","4","2"
"AM","urucurituba","2","3"
"AP","macapa","54","1"
"AP","santana","9","2"
"AP","laranjal do jari","2","3"
"BA","salvador","1245","1"
"BA","feira de santana","185","2"
"BA","vitoria da conquista","92","3"
"CE","fortaleza","654","1"
"CE","sobral","36","2"
"CE","caucaia","35","3"
"CE","maracanau","35","3"
"DF","brasilia","2131","1"
"DF","taguatinga","4","2"
"DF","guara","2","3"
"ES","vitoria","379","1"
"ES","vila velha","334","2"
"ES","serra","285","3"
"GO","goiania","692","1"
"GO","anapolis","113","2"
"GO","aparecida de goiania","110","3"
"MA","sao luis","353","1"
"MA","imperatriz","40","2"
"MA","balsas","17","3"
"MG","belo horizonte","2773","1"
"MG","juiz de fora","427","2"
"MG","contagem","426","3"
"MS","campo grande","320","1"
"MS","dourados","64","2"
"MS","tres lagoas","42","3"
"MT","cuiaba","248","1"
"MT","rondonopolis","65","2"
"MT","sinop","46","3"
"PA","belem","443","1"
"PA","ananindeua","88","2"
"PA","santarem","44","3"
"PB","joao pessoa","256","1"
"PB","campina grande","68","2"
"PB","patos","16","3"
"PE","recife","613","1"
"PE","jaboatao dos guararapes","135","2"
"PE","olinda","93","3"
"PI","teresina","281","1"
"PI","parnaiba","23","2"
"PI","picos","19","3"
"PR","curitiba","1521","1"
"PR","londrina","306","2"
"PR","maringa","271","3"
"RJ","rio de janeiro","6882","1"
"RJ","niteroi","849","2"
"RJ","nova iguacu","442","3"
"RN","natal","207","1"
"RN","parnamirim","59","2"
"RN","mossoro","37","3"
"RO","porto velho","113","1"
"RO","vilhena","18","2"
"RO","ji-parana","17","3"
"RR","boa vista","45","1"
"RR","bonfim","1","2"
"RS","porto alegre","1379","1"
"RS","caxias do sul","224","2"
"RS","canoas","210","3"
"SC","florianopolis","570","1"
"SC","joinville","264","2"
"SC","blumenau","188","3"
"SE","aracaju","225","1"
"SE","itabaiana","16","2"
"SE","nossa senhora do socorro","14","3"
"SP","sao paulo","15540","1"
"SP","campinas","1444","2"
"SP","guarulhos","1189","3"
"TO","palmas","91","1"
"TO","araguaina","41","2"
"TO","gurupi","24","3"
